"","sprice","livarea","beds","baths","lgelot","age","pool"
"1",138000,17,3,2,1,97,0
"2",105700,21,4,2.5,0,18,0
"3",22000,7,2,1,0,49,0
"4",255000,30,3,3,1,23,0
"5",203000,21,4,2,1,18,0
"6",129178,16,3,2,0,2,0
"7",140000,17,3,2,0,0,0
"8",118600,14,3,2,0,4,0
"9",125000,14,3,2,0,3,0
"10",145000,17,3,2.5,0,1,0
"11",157000,17,3,2.5,0,3,0
"12",160000,19,4,2.5,0,4,0
"13",151000,17,3,2.5,0,0,0
"14",166000,19,4,2,0,0,0
"15",124500,14,3,2,0,1,0
"16",145000,14,3,2,0,3,0
"17",144000,16,4,2,0,0,0
"18",175000,18,4,2,0,3,0
"19",125000,14,3,2,0,0,0
"20",172500,22,4,2.5,0,2,0
"21",330000,35,4,3.5,0,0,0
"22",233900,24,4,2,0,0,0
"23",199950,21,3,3,0,0,0
"24",159000,19,4,2,0,7,0
"25",180000,26,4,3,0,5,0
"26",155000,23,4,2.5,0,6,0
"27",129000,16,3,2,0,6,0
"28",149900,27,4,3,0,6,0
"29",235000,33,5,3.5,1,24,1
"30",137000,17,3,2,0,29,0
"31",219000,21,3,2,0,23,0
"32",210000,21,3,3,0,22,0
"33",190000,22,2,2.5,0,22,0
"34",247000,25,4,3,0,24,0
"35",125000,16,3,2,0,3,0
"36",199000,26,4,3,0,4,0
"37",132500,17,4,2,0,4,0
"38",161000,21,4,2.5,0,2,0
"39",166300,21,4,2.5,0,4,0
"40",146500,23,4,3,0,1,0
"41",180000,26,4,3,0,3,0
"42",142000,19,3,2,0,4,0
"43",149950,18,4,2,0,4,0
"44",128000,13,3,2,0,4,0
"45",127000,13,3,2,0,4,0
"46",128000,15,3,2,0,5,0
"47",134000,14,3,2,0,4,0
"48",134000,15,3,2,0,6,0
"49",136500,15,3,2,0,6,0
"50",130000,13,3,2,0,4,0
"51",186500,21,5,3,0,6,0
"52",168500,21,5,3,0,6,0
"53",169950,18,3,2,0,2,0
"54",179900,20,4,3,0,0,0
"55",146500,20,4,2,0,3,0
"56",104500,16,3,2,0,16,0
"57",154000,21,4,2.5,0,0,0
"58",110000,12,3,2,0,14,0
"59",100000,10,2,2,0,13,0
"60",155000,16,3,2,0,13,0
"61",161900,19,3,2.5,0,12,0
"62",169000,17,3,2,0,14,0
"63",134000,17,2,2,0,13,0
"64",145000,19,3,2.5,0,8,0
"65",132500,18,3,2.5,0,12,0
"66",131000,19,3,2.5,0,10,0
"67",147000,21,5,3,0,9,0
"68",190000,21,4,2.5,0,9,0
"69",147500,21,3,2.5,0,8,0
"70",175000,22,4,2,0,8,0
"71",188000,27,3,3,0,8,0
"72",172000,27,4,3,0,7,0
"73",163000,18,3,2,0,8,0
"74",209900,27,4,3,0,8,0
"75",163000,19,3,2,0,8,0
"76",179000,27,3,3,0,8,1
"77",149000,18,3,2,0,8,0
"78",121000,18,4,2,0,3,0
"79",134900,18,4,2,0,5,0
"80",160000,18,3,2,0,8,0
"81",164000,25,4,2,0,1,0
"82",148500,18,4,2.5,0,3,0
"83",100000,16,3,2,0,6,0
"84",107000,16,3,2,0,6,0
"85",111000,16,3,2,0,6,0
"86",100000,16,3,2,0,4,0
"87",148000,16,3,2,0,6,0
"88",127500,18,4,3,0,6,0
"89",136500,20,4,2.5,0,7,0
"90",160000,25,4,3,0,2,0
"91",152500,21,4,2.5,0,3,0
"92",132000,16,3,2,0,3,0
"93",126500,16,3,2,0,3,0
"94",149750,18,3,2,0,7,0
"95",165000,24,4,2.5,0,7,0
"96",137500,20,4,2.5,0,7,0
"97",145000,19,4,2,0,8,0
"98",136000,18,3,2,0,7,0
"99",156500,24,4,2.5,0,6,0
"100",140000,21,4,2.5,0,3,0
"101",180000,28,5,3.5,0,4,0
"102",144500,16,3,2,0,3,0
"103",105000,16,3,2,0,4,0
"104",101000,16,3,2,0,4,0
"105",107000,16,3,2,0,6,0
"106",175000,18,4,2.5,0,0,0
"107",131000,20,3,2.5,0,0,0
"108",144900,16,3,2,0,5,0
"109",190000,20,4,3,0,0,0
"110",156500,20,4,2,0,3,0
"111",219000,25,3,2.5,1,41,0
"112",142000,20,3,2,1,32,0
"113",165000,16,3,2,0,38,1
"114",195000,22,4,3,0,31,1
"115",261000,31,4,3,0,7,0
"116",112700,22,4,2.5,0,18,0
"117",109000,16,3,2,0,18,0
"118",113500,19,4,3,0,19,1
"119",118950,22,4,2.5,0,12,0
"120",112000,15,3,2,0,19,0
"121",102500,17,3,2,0,19,0
"122",98725,16,3,2,0,19,0
"123",115000,16,3,2,0,20,0
"124",114000,17,3,2,0,20,0
"125",121000,16,3,2,0,20,0
"126",112000,18,4,2,0,20,0
"127",109000,22,4,2.5,0,19,0
"128",123900,22,4,2.5,0,20,1
"129",91000,15,3,2,0,9,0
"130",107000,22,4,2.5,0,17,0
"131",91900,17,3,2,0,16,0
"132",104500,18,4,2,0,19,0
"133",110000,14,3,2,0,20,0
"134",97900,18,3,2,0,20,0
"135",103000,17,3,2,0,19,0
"136",93500,14,3,2,0,19,0
"137",110000,16,3,2,0,20,0
"138",140000,22,4,2.5,0,20,0
"139",105000,22,4,2.5,0,19,0
"140",126500,22,4,2.5,0,20,0
"141",118000,22,4,2.5,0,19,0
"142",109500,15,3,2,0,17,0
"143",126500,18,4,2,0,17,0
"144",136000,21,4,2.5,0,17,1
"145",153000,21,4,2.5,0,18,1
"146",115000,18,4,2,0,18,0
"147",118000,15,3,2,0,18,0
"148",122500,16,3,2,0,17,0
"149",152500,24,5,3,0,18,0
"150",113500,21,4,2.5,0,18,0
"151",125000,21,4,2.5,0,19,0
"152",117500,17,3,2,0,19,0
"153",143000,22,4,2.5,0,17,1
"154",110000,17,3,2,0,19,0
"155",104900,15,3,2,0,22,0
"156",105000,15,3,2,0,21,0
"157",105000,16,3,2,0,21,0
"158",142500,19,4,2,0,22,0
"159",114950,15,3,2,0,20,0
"160",90000,14,3,2,0,19,0
"161",101000,15,3,2.5,0,17,0
"162",145000,19,3,2,0,15,0
